home_team,away_team,home_result,away_result,result,date,round,city,stadium,edition
England,Denmark,5.0,2.0,England,1956-01-01,qualification,Wolverhampton,,1958-SWEDEN
Portugal,Northern Ireland,1.0,1.0,draw,1957-01-01,qualification,Lisboa,,1958-SWEDEN
Guatemala,Costa Rica,2.0,6.0,Costa Rica,1957-01-01,qualification,Guatemala,,1958-SWEDEN
Costa Rica,Guatemala,3.0,1.0,Costa Rica,1957-01-01,qualification,San_Jose,,1958-SWEDEN
Costa Rica,Curacao,4.0,0.0,Costa Rica,1957-01-01,qualification,San_Jose,,1958-SWEDEN
Sudan,Syria,1.0,0.0,Sudan,1957-01-01,qualification,Khartoum,,1958-SWEDEN
Spain,Switzerland,2.0,2.0,draw,1957-01-01,qualification,Madrid,,1958-SWEDEN
Guatemala,Curacao,1.0,3.0,Curacao,1957-01-01,qualification,Guatemala,,1958-SWEDEN
Netherlands,Luxembourg,4.0,1.0,Netherlands,1957-01-01,qualification,Rotterdam,,1958-SWEDEN
Mexico,United States,6.0,0.0,Mexico,1957-01-01,qualification,Mexico DF,,1958-SWEDEN
Peru,Brazil,1.0,1.0,draw,1957-01-01,qualification,Lima,,1958-SWEDEN
Brazil,Peru,1.0,0.0,Brazil,1957-01-01,qualification,Rio de Janeiro,,1958-SWEDEN
Italy,Northern Ireland,1.0,0.0,Italy,1957-01-01,qualification,Roma,,1958-SWEDEN
United States,Mexico,2.0,7.0,Mexico,1957-01-01,qualification,Los Angeles,,1958-SWEDEN
Wales,Czech Republic,1.0,0.0,Wales,1957-01-01,qualification,Cardiff,,1958-SWEDEN
Northern Ireland,Portugal,3.0,0.0,Northern Ireland,1957-01-01,qualification,Belfast,,1958-SWEDEN
Greece,Serbia,0.0,0.0,draw,1957-01-01,qualification,Athina,,1958-SWEDEN
England,Ireland,5.0,1.0,England,1957-01-01,qualification,London,,1958-SWEDEN
Scotland,Spain,4.0,2.0,Scotland,1957-01-01,qualification,Glasgow,,1958-SWEDEN
Indonesia,China,2.0,0.0,Indonesia,1957-01-01,qualification,Jakarta,,1958-SWEDEN
Denmark,England,1.0,4.0,England,1957-01-01,qualification,Kobenhavn,,1958-SWEDEN
Ireland,England,1.0,1.0,draw,1957-01-01,qualification,Dublin,,1958-SWEDEN
GDR,Wales,2.0,1.0,GDR,1957-01-01,qualification,Leipzig,,1958-SWEDEN
Switzerland,Scotland,1.0,2.0,Scotland,1957-01-01,qualification,Basel,,1958-SWEDEN
Norway,Bulgaria,1.0,2.0,Bulgaria,1957-01-01,qualification,Oslo,,1958-SWEDEN
Syria,Sudan,1.0,1.0,draw,1957-01-01,qualification,Damascus,,1958-SWEDEN
Czech Republic,Wales,2.0,0.0,Czech Republic,1957-01-01,qualification,Prague,,1958-SWEDEN
Austria,Netherlands,3.0,2.0,Austria,1957-01-01,qualification,Vienna,,1958-SWEDEN
Portugal,Italy,3.0,0.0,Portugal,1957-01-01,qualification,Lisboa,,1958-SWEDEN
Spain,Scotland,4.0,1.0,Spain,1957-01-01,qualification,Madrid,,1958-SWEDEN
France,Iceland,8.0,0.0,France,1957-01-01,qualification,Nantes,,1958-SWEDEN
China,Indonesia,4.0,3.0,China,1957-01-01,qualification,Beijing,,1958-SWEDEN
Belgium,Iceland,8.0,3.0,Belgium,1957-01-01,qualification,Bruxelles,,1958-SWEDEN
Norway,Hungary,2.0,1.0,Norway,1957-01-01,qualification,Oslo,,1958-SWEDEN
Czech Republic,GDR,3.0,1.0,Czech Republic,1957-01-01,qualification,Brno,,1958-SWEDEN
Greece,Romania,1.0,2.0,Romania,1957-01-01,qualification,Athina,,1958-SWEDEN
Colombia,Uruguay,1.0,1.0,draw,1957-01-01,qualification,Bogota,,1958-SWEDEN
